"species","ID","video","time1","time2","done","EB comments","other comments","use","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g150_2_1","00:00:06","00:00:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g150_2_1","00:00:46","00:00:59","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA51","CA51_g150_2_2","00:00:05","00:00:10","yes","","","","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_1","00:01:37","00:01:40","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_2","00:00:21","00:00:24","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_3","00:00:53","00:00:56","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_3","00:01:17","00:01:21","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_3","00:01:44","00:01:47","yes","","","only two strides on one leg","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_g60_1_3","00:01:47","00:01:50","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_glass_2_1","00:01:44","00:01:48","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_glass_2_1","00:02:43","00:02:46","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_glass_2_1","00:02:48","00:02:51","yes","","","done","","","","","","","","","","","","","","","","",""
"Clogmia","CA58","CA58_glass_2_1","00:03:27","00:03:30","yes","","","","","","","","","","","","","","","","","","","",""
